"No.","Column Name","Use","Description"
1,"`Code`","`L`","Code linking to the AnthropogenicCode column in SUEWS_SiteSelect.txt . Value of integer is arbitrary but must match code specified in SUEWS_SiteSelect.txt. "
2,"`BaseTHDD`","`MU`","Base temperature for heating degree days [°C] e.g. Sailor and Vasireddy (2006) [39] "
3,"`QF_A_Weekday`","`MU` `O`","Use with AnthropHeatChoice = 2 Example values [W |m^-2| (Cap ha-1) -1 ] 0.3081 Järvi et al. (2011) [1]  0.1 Järvi et al. (2014) [15] "
4,"`QF_B_Weekday`","`MU` `O`","Use with AnthropHeatMethod = 2 Example values [W |m^-2| |K^-1| (Cap ha -1 ) -1 ] 0.0099 Järvi et al. (2011) [1]  0.0099 Järvi et al. (2014) [15] "
5,"`QF_C_Weekday`","`MU` `O`","Use with AnthropHeatMethod = 2 Example values [W |m^-2| |K^-1| (Cap ha -1 ) -1 ] 0.0102 Järvi et al. (2011) [1]  0.0102 Järvi et al. (2014) [15] "
6,"`QF_A_Weekend`","`MU` `O`","Use with AnthropHeatMethod = 2 Example values [W |m^-2| (Cap ha -1 ) -1 ] 0.3081 Järvi et al. (2011) [1]  0.1 Järvi et al. (2014) [15] "
7,"`QF_B_Weekend`","`MU` `O`","Use with AnthropHeatMethod = 2 Example values [W |m^-2| |K^-1| (Cap ha -1 ) -1 ] 0.0099 Järvi et al. (2011) [1]  0.0099 Järvi et al. (2014) [15] "
8,"`QF_C_Weekend`","`MU` `O`","Example values [W |m^-2| |K^-1| (Cap ha -1 ) -1 ] 0.0102 Järvi et al. (2011) [1]  0.0102 Järvi et al. (2014) [15] "
9,"`AHMin`","`MU` `O`","Use with AnthropHeatMethod = 1"
10,"`AHSlope`","`MU` `O`","Use with AnthropHeatMethod = 1"
11,"`TCritic`","`MU` `O`","Use with AnthropHeatMethod = 1"
