"No.","Column Name","Use","Description"
1,"`Code`","`L`","Code linking to the CondCode column in SUEWS_SiteSelect.txt . Value of integer is arbitrary but must match code specified in SUEWS_SiteSelect.txt. "
2,"`G1`","`MD`","Related to maximum surface conductance [mm |s^-1|]"
3,"`G2`","`MD`","Related to Kdown dependence [W |m^-2|]"
4,"`G3`","`MD`","Related to VPD dependence [units depend on gsChoice in RunControl.nml ]"
5,"`G4`","`MD`","Related to VPD dependence [units depend on gsChoice in RunControl.nml ]"
6,"`G5`","`MD`","Related to temperature dependence [°C]"
7,"`G6`","`MD`","Related to soil moisture dependence [m|m^-1|]"
8,"`TH`","`MD`","Upper air temperature limit [°C]"
9,"`TL`","`MD`","Lower air temperature limit [°C]"
10,"`S1`","`MD`","Related to soil moisture dependence [-] These will change in the future to ensure consistency with soil behaviour "
11,"`S2`","`MD`","Related to soil moisture dependence [mm] These will change in the future to ensure consistency with soil behaviour "
12,"`Kmax`","`MD`","Maximum incoming shortwave radiation [W |m^-2|]"
13,"`gsModel`","`MD`","1 = Järvi et al. (2011) [1] 2 = Ward et al. (2016) [2] Recommended."
