"No.","Column Name","Use","Description"
1,"`Code`","`L`","Code linking to SUEWS_SiteSelect.txt for paved surfaces (Code_Paved), buildings (Code_Bldgs) and bare soil surfaces (Code_BSoil). Value of integer is arbitrary but must match codes specified in SUEWS_SiteSelect.txt. "
2,"`AlbedoMin`","`MU`","Effective surface albedo (middle of the day value) for wintertime (not including snow). View factors should be taken into account. Not currently used for non-vegetated surfaces – set the same as AlbedoMax."
3,"`AlbedoMax`","`MU`","Effective surface albedo (middle of the day value) for summertime. View factors should be taken into account."
4,"`Emissivity`","`MU`","Effective surface emissivity. View factors should be taken into account."
5,"`StorageMin`","`MD`","Minimum water storage capacity for upper surfaces (i.e. canopy). Min/max values are to account for seasonal variation (e.g. leaf-on/leaf-off differences for vegetated surfaces). Not currently used for non-vegetated surfaces - set the same as StorageMax. Example values [mm] 0.48 Paved 0.25 Bldgs 0.8 BSoil"
6,"`StorageMax`","`MD`","Maximum water storage capacity for upper surfaces (i.e. canopy) Min and max values are to account for seasonal variation (e.g. leaf-on/leaf-off differences for vegetated surfaces). Not currently used for non-vegetated surfaces - set the same as StorageMin. Example values [mm] 0.48 Paved 0.25 Bldgs 0.8 BSoil"
7,"`WetThreshold`","`MD`","Depth of water which determines whether evaporation occurs from a partially wet or completely wet surface. Example values [mm] 0.6 Paved 0.6 Bldgs 1. BSoil"
8,"`StateLimit`","`MD`","Currently only used for the water surface"
9,"`DrainageEq`","`MD`","Options 1 Falk and Niemczynowicz (1978) [32] 2 Halldin et al. (1979) [33] (Rutter eqn corrected for c=0, see Calder & Wright (1986) [34] ) Recommended [3] for BSoil 3 Falk and Niemczynowicz (1978) [32] Recommended [3] for Paved and Bldgs Coefficients are specified in the following two columns."
10,"`DrainageCoef1`","`MD`","Example values DrainageEq 10 Coefficient D0 [mm h -1 ] 3 Recommended [3] for Paved and Bldgs 0.013 Coefficient D0 [mm h -1 ] 2 Recommended [3] for BSoil"
11,"`DrainageCoef2`","`MD`","Example values DrainageEq 3 Coefficient b [-] 3 Recommended [3] for Paved and Bldgs 1.71 Coefficient b [mm -1 ] 2 Recommended [3] for BSoil"
12,"`SoilTypeCode`","`L`","Code for soil characteristics below this surface Provides the link to column 1 of SUEWS_Soil.txt , which contains the attributes describing sub-surface soil for this surface type. Value of integer is arbitrary but must match code specified in column 1 of SUEWS_Soil.txt. "
13,"`SnowLimPatch`","`O`","Not needed if SnowUse = 0 in RunControl.nml . Example values [mm] 190 Paved Järvi et al. (2014) [15]  190 Bldgs Järvi et al. (2014) [15]  190 BSoil Järvi et al. (2014) [15] "
14,"`SnowLimRemove`","`O`","Not needed if SnowUse = 0 in RunControl.nml . Currently not implemented for BSoil surface Example values [mm] 40 Paved Järvi et al. (2014) [15]  100 Bldgs Järvi et al. (2014) [15] "
15,"`OHMCode_SummerWet`","`L`","Code for OHM coefficients to use for this surface during wet conditions in summer. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
16,"`OHMCode_SummerDry`","`L`","Code for OHM coefficients to use for this surface during dry conditions in summer. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
17,"`OHMCode_WinterWet`","`L`","Code for OHM coefficients to use for this surface during wet conditions in winter. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
18,"`OHMCode_WinterDry`","`L`","Code for OHM coefficients to use for this surface during dry conditions in winter. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
19,"`OHMThresh_SW`","`MD`","Temperature threshold determining whether summer/winter OHM coefficients are applied [deg C] If 5-day running mean air temperature is greater than or equal to this threshold, OHM coefficients for summertime are applied; otherwise coefficients for wintertime are applied. "
20,"`OHMThresh_WD`","`MD`","Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-] If soil moisture (as a proportion of maximum soil moisture capacity) exceeds this threshold for bare soil and vegetated surfaces, OHM coefficients for wet conditions are applied; otherwise coefficients for dry coefficients are applied. Note that OHM coefficients for wet conditions are applied if the surface is wet. Not actually used for building and paved surfaces (as impervious). "
21,"`ESTMCode`","`L`","For paved and building surfaces, it is possible to specify multiple codes per grid (3 for paved, 5 for buildings) using SUEWS_SiteSelect.txt . In this case, set ESTMCode here to zero."
22,"`AnOHM_Cp`","`MU`","Volumetric heat capacity for this surface to use in AnOHM [J m -3 ]"
23,"`AnOHM_Kk`","`MU`","Thermal conductivity for this surface to use in AnOHM [W m K -1 ]"
24,"`AnOHM_Ch`","`MU`","Bulk transfer coefficient for this surface to use in AnOHM [-]"
