"No.","Column Name","Use","Description"
1,"`Code`","`L`","Code linking to SUEWS_SiteSelect.txt for snow surfaces (SnowCode). Value of integer is arbitrary but must match code specified in SUEWS_SiteSelect.txt. "
2,"`RadMeltFactor`","`MU`","Hourly radiation melt factor of snow [mm |w^-1| |h^-1| ]"
3,"`TempMeltFactor`","`MU`","Hourly temperature melt factor of snow [mm |K^-1| |h^-1| ] (In previous model version, this parameter was 0.12)"
4,"`AlbedoMin`","`MU`","Example values [-] 0.18 Järvi et al. (2014) [15] "
5,"`AlbedoMax`","`MU`","Example values [-] 0.85 Järvi et al. (2014) [15] "
6,"`Emissivity`","`MU`","Effective surface emissivity. View factors should be taken into account Example values [-] 0.99 Järvi et al. (2014) [15] "
7,"`tau_a`","`MD`","Time constant for snow albedo aging in cold snow [-]"
8,"`tau_f`","`MD`","Time constant for snow albedo aging in melting snow [-]"
9,"`PrecipiLimAlb`","`MD`","Limit for hourly precipitation when the ground is fully covered with snow. Then snow albedo is reset to AlbedoMax [mm]"
10,"`snowDensMin`","`MD`","Fresh snow density [kg |m^-3| ]"
11,"`snowDensMax`","`MD`","Maximum snow density [kg |m^-3| ]"
12,"`tau_r`","`MD`","Time constant for snow density ageing [-]"
13,"`CRWMin`","`MD`","Minimum water holding capacity of snow [mm]"
14,"`CRWMax`","`MD`","Maximum water holding capacity of snow [mm]"
15,"`PrecipLimSnow`","`MD`","Auer (1974) [38]"
16,"`OHMCode_SummerWet`","`L`","Code for OHM coefficients to use for this surface during wet conditions in summer. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
17,"`OHMCode_SummerDry`","`L`","Code for OHM coefficients to use for this surface during dry conditions in summer. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
18,"`OHMCode_WinterWet`","`L`","Code for OHM coefficients to use for this surface during wet conditions in winter. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
19,"`OHMCode_WinterDry`","`L`","Code for OHM coefficients to use for this surface during dry conditions in winter. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
20,"`OHMThresh_SW`","`MD`","Temperature threshold determining whether summer/winter OHM coefficients are applied [°C] If 5-day running mean air temperature is greater than or equal to this threshold, OHM coefficients for summertime are applied; otherwise coefficients for wintertime are applied. Not actually used for Snow surface as winter wet conditions always assumed. "
21,"`OHMThresh_WD`","`MD`","Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-] If soil moisture (as a proportion of maximum soil moisture capacity) exceeds this threshold for bare soil and vegetated surfaces, OHM coefficients for wet conditions are applied; otherwise coefficients for dry coefficients are applied. Note that OHM coefficients for wet conditions are applied if the surface is wet. Not actually used for Snow surface as winter wet conditions always assumed. "
22,"`ESTMCode`","`L`","For paved and building surfaces, it is possible to specify multiple codes per grid (3 for paved, 5 for buildings) using SUEWS_SiteSelect.txt . In this case, set ESTM code here to zero."
23,"`AnOHM_Cp`","`MU`","Volumetric heat capacity for this surface to use in AnOHM [J |m^-3| ]"
24,"`AnOHM_Kk`","`MU`","Thermal conductivity for this surface to use in AnOHM [W m |K^-1| ]"
25,"`AnOHM_Ch`","`MU`","Bulk transfer coefficient for this surface to use in AnOHM [-]"
