"No.","Column Name","Use","Description"
1,"`Code`","`L`","Code linking to SUEWS_SiteSelect.txt for evergreen trees and shrubs (Code_EveTr), deciduous trees and shrubs (Code_DecTr) and grass surfaces (Code_Grass). Value of integer is arbitrary but must match codes specified in SUEWS_SiteSelect.txt. "
2,"`AlbedoMin`","`MU`","Effective surface albedo (middle of the day value) for wintertime (not including snow), leaf-off. View factors should be taken into account. Example values [-] 0.1 EveTr Oke (1987) [35]  0.18 DecTr Oke (1987) [35]  0.21 Grass Oke (1987) [35] "
3,"`AlbedoMax`","`MU`","Effective surface albedo (middle of the day value) for summertime, full leaf-on. View factors should be taken into account. Example values [-] 0.1 EveTr Oke (1987) [35]  0.18 DecTr Oke (1987) [35]  0.21 Grass Oke (1987) [35] "
4,"`Emissivity`","`MU`","Effective surface emissivity. View factors should be taken into account. Example values [-] 0.98 EveTr Oke (1987) [35]  0.98 DecTr Oke (1987) [35]  0.93 Grass Oke (1987) [35] "
5,"`StorageMin`","`MD`","Minimum water storage capacity for upper surfaces (i.e. canopy). Min/max values are to account for seasonal variation (e.g. leaf-off/leaf-on differences for vegetated surfaces). Example values [mm] 1.3 EveTr Breuer et al. (2003) [36]  0.3 DecTr Breuer et al. (2003) [36]  1.9 Grass Breuer et al. (2003) [36] "
6,"`StorageMax`","`MD`","Maximum water storage capacity for upper surfaces (i.e. canopy) Min/max values are to account for seasonal variation (e.g. leaf-off/leaf-on differences for vegetated surfaces) Only used for DecTr surfaces - set EveTr and Grass values the same as StorageMin. Example values [mm] 1.3 EveTr Breuer et al. (2003) [36]  0.8 DecTr Breuer et al. (2003) [36]  1.9 Grass Breuer et al. (2003) [36] "
7,"`WetThreshold`","`MD`","Depth of water which determines whether evaporation occurs from a partially wet or completely wet surface. Example values [mm] 1.8 EveTr 1. DecTr 2. Grass"
8,"`StateLimit`","`MD`","Currently only used for the water surface"
9,"`DrainageEq`","`MD`","Options 1 Falk and Niemczynowicz (1978) [32] 2 Halldin et al. (1979) [33] (Rutter eqn corrected for c=0, see Calder & Wright (1986) [34] ) Recommended [3] for EveTr, DecTr, Grass (unirrigated) 3 Falk and Niemczynowicz (1978) [32] Recommended [3] for Grass (irrigated) Coefficients are specified in the following two columns."
10,"`DrainageCoef1`","`MD`","Example values DrainageEq 10 Coefficient D0 [mm |h^-1| ] 3 Recommended [3] for Grass (irrigated) 0.013 Coefficient D0 [mm |h^-1| ] 2 Recommended [3] for EveTr, DecTr, Grass (unirrigated)"
