"No.","Column Name","Use","Description"
1,"`Code`","`L`","Code linking to SUEWS_SiteSelect.txt for water surfaces (Code_Water). Value of integer is arbitrary but must match code specified in SUEWS_SiteSelect.txt. "
2,"`AlbedoMin`","`MU`","View factors should be taken into account. Not currently used for water surface - set same as AlbedoMax."
3,"`AlbedoMax`","`MU`","Effective albedo of the water surface. View factors should be taken into account. Example values [-] 0.1 Water Oke (1987) [35] "
4,"`Emissivity`","`MU`","Effective surface emissivity. View factors should be taken into account Example values [-] 0.95 Water Oke (1987) [35] "
5,"`StorageMin`","`MD`","Minimum water storage capacity for upper surfaces (i.e. canopy). Min/max values are to account for seasonal variation - not used for water surfaces. Example values [mm] 0.5 Water"
6,"`StorageMax`","`MD`","Maximum water storage capacity for upper surfaces (i.e. canopy) Min and max values are to account for seasonal variation - not used for water surfaces so set same as StorageMin."
7,"`WetThreshold`","`MD`","Depth of water which determines whether evaporation occurs from a partially wet or completely wet surface. Example values [mm] 0.5 Water"
8,"`StateLimit`","`MU`","Surface state cannot exceed this value. Set to a large value (e.g. 20000 mm = 20 m) if the water body is substantial (lake, river, etc) or a small value (e.g. 10 mm) if water bodies are very shallow (e.g. fountains). WaterDepth (column 9) must not exceed this value."
9,"`WaterDepth`","`MU`","Set to a large value (e.g. 20000 mm = 20 m) if the water body is substantial (lake, river, etc) or a small value (e.g. 10 mm) if water bodies are very shallow (e.g. fountains). This value must not exceed StateLimit (column 8)."
10,"`DrainageEq`","`MD`","Not currently used for water surface."
11,"`DrainageCoef1`","`MD`","Not currently used for water surface"
12,"`DrainageCoef2`","`MD`","Not currently used for water surface"
13,"`OHMCode_SummerWet`","`L`","Code for OHM coefficients to use for this surface during wet conditions in summer. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
14,"`OHMCode_SummerDry`","`L`","Code for OHM coefficients to use for this surface during dry conditions in summer. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
15,"`OHMCode_WinterWet`","`L`","Code for OHM coefficients to use for this surface during wet conditions in winter. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
16,"`OHMCode_WinterDry`","`L`","Code for OHM coefficients to use for this surface during dry conditions in winter. Links to SUEWS_OHMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_OHMCoefficients.txt. "
17,"`OHMThresh_SW`","`MD`","Temperature threshold determining whether summer/winter OHM coefficients are applied [deg C] If 5-day running mean air temperature is greater than or equal to this threshold, OHM coefficients for summertime are applied; otherwise coefficients for wintertime are applied. "
18,"`OHMThresh_WD`","`MD`","Soil moisture threshold determining whether wet/dry OHM coefficients are applied [-] If soil moisture (as a proportion of maximum soil moisture capacity) exceeds this threshold for bare soil and vegetated surfaces, OHM coefficients for wet conditions are applied; otherwise coefficients for dry coefficients are applied. Note that OHM coefficients for wet conditions are applied if the surface is wet. Not actually used for water surface (as no soil surface beneath). "
19,"`ESTMCode`","`L`","Code for ESTM coefficients to use for this surface. Links to SUEWS_ESTMCoefficients.txt . Value of integer is arbitrary but must match code specified in column 1 of SUEWS_ESTMCoefficients.txt. "
20,"`AnOHM_Cp`","`MU`","Volumetric heat capacity for this surface to use in AnOHM [J m -3 ]"
21,"`AnOHM_Kk`","`MU`","Thermal conductivity for this surface to use in AnOHM [W m K -1 ]"
22,"`AnOHM_Ch`","`MU`","Bulk transfer coefficient for this surface to use in AnOHM [-]"
